"Defunciones por homicidios"
"Año de registro : 2002"
"Ent y mun de registro : Total"
""
"Consulta de: Defunciones por homicidio   Por: Ent y mun de ocurrencia   Según: Mes de registro"
"","","Total","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre",""
" ","Total","10,088","921","804","864","907","838","785","879","884","784","785","782","855"
"=CONCATENAR(0,01) ","Aguascalientes","27","2","2","","3","3","2","3","1","2","2","4","3"
" 01 001 ","Aguascalientes","25","2","2","","3","2","2","3","1","2","1","4","3"
" 01 004 ","Cosío","1","","","","","","","","","","1","",""
" 01 006 ","Pabellón de Arteaga","1","","","","","1","","","","","","",""
"=CONCATENAR(0,02) ","Baja California","427","44","30","38","34","35","33","49","33","19","40","34","38"
" 02 001 ","Ensenada","36","1","","2","2","3","3","1","5","4","3","4","8"
" 02 002 ","Mexicali","104","9","9","9","4","10","11","11","7","4","8","11","11"
" 02 003 ","Tecate","14","3","1","1","2","","1","","","3","1","1","1"
" 02 004 ","Tijuana","260","29","20","24","25","20","18","36","21","8","25","16","18"
" 02 005 ","Playas de Rosarito","13","2","","2","1","2","","1","","","3","2",""
"=CONCATENAR(0,03) ","Baja California Sur","32","6","","2","5","1","4","1","4","2","3","","4"
" 03 001 ","Comondú","5","2","","","","","2","","","1","","",""
" 03 002 ","Mulegé","2","","","","","","1","","","1","","",""
" 03 003 ","La Paz","15","2","","2","4","","1","","3","","2","","1"
" 03 008 ","Los Cabos","10","2","","","1","1","","1","1","","1","","3"
"=CONCATENAR(0,04) ","Campeche","54","8","4","","6","7","2","7","6","2","9","1","2"
" 04 001 ","Calkiní","1","","","","","","","","","","1","",""
" 04 002 ","Campeche","18","3","1","","2","3","1","2","2","1","2","","1"
" 04 003 ","Carmen","17","2","2","","1","2","1","2","1","1","4","1",""
" 04 004 ","Champotón","4","","","","","","","1","2","","","","1"
" 04 007 ","Palizada","1","","","","","1","","","","","","",""
" 04 009 ","Escárcega","3","2","","","","","","1","","","","",""
" 04 010 ","Calakmul","2","","","","1","","","","1","","","",""
